Name,Latitude,Longitude,Rating,Price
The Fern - Goregaon,19.1622371673584,72.85713195800781,4.5,4912.34
"Taj Lands End, Mumbai",19.0436954498291,72.81925201416016,4.5,6496.0
Grand Hyatt Mumbai Hotel & Residences,19.076892852783203,72.85111236572266,4.5,5616.8
Lemon Tree Premier-Mumbai International Airport,19.107975006103516,72.88218688964844,4.5,3564.34
Hotel Oriental Aster,19.107919692993164,72.86148834228516,4.5,2098.24
The Resort,19.17334747314453,72.79554748535156,4.0,4363.83
Sofitel Mumbai BKC,19.067668914794922,72.86921691894531,5.0,10620.0
"Taj Mahal Tower, Mumbai",18.922365188598633,72.83346557617188,4.5,6160.0
JW Marriott Mumbai Juhu,19.101774215698242,72.82566833496094,4.5,10620.0
The Taj Mahal Palace,18.922128677368164,72.83357238769531,4.5,14160.0
"Trident, Bandra Kurla, Mumbai",19.066547393798828,72.8675537109375,4.5,8388.0
Waterstones Hotel,19.104982376098633,72.87696075439453,4.0,4841.29
Hotel Kohinoor Continental,19.11216163635254,72.86776733398438,4.0,2545.9
The Regale by Tunga,19.121126174926758,72.8704605102539,4.0,2249.95
Meluha The Fern An Ecotel,19.117876052856445,72.91104125976562,4.5,3912.64
The Leela Mumbai,19.109092712402344,72.87381744384766,4.5,7000.0
The Residence Hotel & Apartments Powai,19.134662628173828,72.8987045288086,4.0,3081.04
"Sun-n-Sand Hotel, Mumbai",19.109390258789062,72.82414245605469,4.0,4688.3
Niranta Airport Transit Hotel & Lounge,19.095918655395508,72.87427520751953,4.0,6799.3
Hyatt Regency Mumbai,19.10372543334961,72.87165069580078,4.5,6552.0
Novotel Mumbai Juhu Beach,19.10865020751953,72.82411193847656,3.5,10620.0
The Oriental Residency,19.067665100097656,72.83635711669922,4.0,1845.59
The Paradise By Tunga Hotel,19.1209716796875,72.87052917480469,4.0,2412.02
Hotel Residency Fort,18.93499183654785,72.83349609375,4.5,5090.81
ibis Mumbai Airport - An AccorHotels Brand,19.09669303894043,72.85325622558594,4.0,3470.88
Hotel Peninsula Redpine,19.110092163085938,72.87415313720703,3.5,2903.04
Sai Palace Grand Malad,19.189468383789062,72.83544921875,4.0,4592.0
FabHotel Atlas Plaza,19.12154769897461,72.85027313232422,4.0,2191.43
The Beatle,19.12140655517578,72.90986633300781,4.0,3509.44
FabExpress Terminal II,19.100971221923828,72.88166809082031,3.0,2045.7
The Oberoi Mumbai,18.926977157592773,72.82044982910156,5.0,11788.0
President - IHCL SeleQtions,18.91435432434082,72.82105255126953,4.5,4470.55
Hotel Kemps Corner,18.964082717895508,72.80664825439453,4.5,2849.28
Goldfinch Mumbai,19.119815826416016,72.86990356445312,4.5,3722.0
"Trident, Nariman Point",18.92780876159668,72.82089233398438,4.5,8120.0
T24 Residency,19.110708236694336,72.8750991821289,4.0,2833.0
The Lalit Mumbai,19.105377197265625,72.875732421875,4.5,6663.97
Ginger Mumbai Andheri East,19.115964889526367,72.8502197265625,4.5,4167.31
The Orchid Mumbai Vile Parle,19.097129821777344,72.85494232177734,4.0,5935.1
Taj Santacruz,19.09075355529785,72.84921264648438,4.5,5736.52
The Park Mumbai,19.09172248840332,72.82803344726562,5.0,13852.02
Ramada by Wyndham Powai Hotel & Convention Centre,19.136438369750977,72.89926147460938,4.0,3877.0
Hotel Bawa International,19.096519470214844,72.853759765625,3.5,4284.0
The Emerald - Hotel & Service Apartments,19.09316635131836,72.82857513427734,3.5,2413.32
Ramada Plaza by Wyndham Palm Grove,19.098636627197266,72.8267822265625,4.0,3840.0
Treebo Trend Amber International,19.091922760009766,72.88148498535156,4.5,2191.57
Fariyas Hotel Mumbai,18.917064666748047,72.82997131347656,4.0,4479.55
Hotel Bawa Suites,19.068845748901367,72.8333740234375,4.0,3880.0
Hotel Mina International,19.13723373413086,72.84658813476562,3.5,1763.37
The Ambassador Mumbai,18.933563232421875,72.82476806640625,4.0,5801.87
Hotel Archana Residency,19.18427085876465,72.95355987548828,4.0,3829.89
Citizen Hotel,19.095699310302734,72.82683563232422,3.5,3176.24
Treebo Trend Olive Nest,18.994619369506836,72.81432342529297,4.0,2494.08
Hotel Alfa International,19.08993911743164,72.83847045898438,4.0,2061.0
Midland Hotel,19.081279754638672,72.85420989990234,3.5,2912.0
Club Emerald,19.05666732788086,72.89109802246094,4.0,2626.88
Hotel Suncity Apollo,18.924076080322266,72.83234405517578,3.5,2994.24
HOTEL PARLE INTERNATIONAL,19.101146697998047,72.84500122070312,3.5,2565.64
The Peninsula Grand Hotel,19.102550506591797,72.88858032226562,3.5,4435.0
Hotel Airport International,19.09626007080078,72.85411834716797,3.0,2747.84
